"filename", "language", "CMake", "Markdown", "C++", "CUDA C++", "Log", "Shell Script", "JSON", "CMake Cache", "Makefile", "XML", "TypeScript", "comment", "blank", "total"
"/home/lennart-k-hler/projects/dolphin/configs/default_psf_config_gibsonlanni.json", "JSON", 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2
"/home/lennart-k-hler/projects/dolphin/examples/memory_exception_example.cpp", "C++", 0, 0, -28, 0, 0, 0, 0, 0, 0, 0, 0, -9, -10, -47
"/home/lennart-k-hler/projects/dolphin/include/Channel.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 1, 13
"/home/lennart-k-hler/projects/dolphin/include/Config.h", "C++", 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 15, 7, 63
"/home/lennart-k-hler/projects/dolphin/include/DeconvolutionService.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 1, 13
"/home/lennart-k-hler/projects/dolphin/include/Dolphin.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 1, 13
"/home/lennart-k-hler/projects/dolphin/include/HyperstackImage.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 1, 13
"/home/lennart-k-hler/projects/dolphin/include/Image3D.h", "C++", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 20
"/home/lennart-k-hler/projects/dolphin/include/ImageMetaData.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 1, 13
"/home/lennart-k-hler/projects/dolphin/include/NumericalIntegrator.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 1, 13
"/home/lennart-k-hler/projects/dolphin/include/PSFCreator.h", "C++", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 15, 9, 40
"/home/lennart-k-hler/projects/dolphin/include/PSFGenerationService.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 1, 13
"/home/lennart-k-hler/projects/dolphin/include/PSFManager.h", "C++", 0, 0, -16, 0, 0, 0, 0, 0, 0, 0, 0, -3, -8, -27
"/home/lennart-k-hler/projects/dolphin/include/ServiceAbstractions.h", "C++", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 13
"/home/lennart-k-hler/projects/dolphin/include/ServiceFactory.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 1, 13
"/home/lennart-k-hler/projects/dolphin/include/SimpsonIntegrator.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 1, 13
"/home/lennart-k-hler/projects/dolphin/include/ThreadPool.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 1, 13
"/home/lennart-k-hler/projects/dolphin/include/UtlGrid.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 1, 13
"/home/lennart-k-hler/projects/dolphin/include/UtlIO.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 1, 13
"/home/lennart-k-hler/projects/dolphin/include/UtlImage.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 1, 13
"/home/lennart-k-hler/projects/dolphin/include/backend/BackendFactory.h", "C++", 0, 0, -15, 0, 0, 0, 0, 0, 0, 0, 0, 11, 3, -1
"/home/lennart-k-hler/projects/dolphin/include/backend/ComplexData.h", "C++", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 18
"/home/lennart-k-hler/projects/dolphin/include/backend/Exceptions.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 1, 13
"/home/lennart-k-hler/projects/dolphin/include/backend/IBackend.h", "C++", 0, 0, 87, 0, 0, 0, 0, 0, 0, 0, 0, 24, 35, 146
"/home/lennart-k-hler/projects/dolphin/include/backend/IBackendMemoryManager.h", "C++", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 17, 6, 30
"/home/lennart-k-hler/projects/dolphin/include/backend/IDeconvolutionBackend.h", "C++", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 21, 2, 27
"/home/lennart-k-hler/projects/dolphin/include/deconvolution/DeconvolutionAlgorithmFactory.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 1, 13
"/home/lennart-k-hler/projects/dolphin/include/deconvolution/DeconvolutionConfig.h", "C++", 0, 0, -2, 0, 0, 0, 0, 0, 0, 0, 0, 12, 2, 12
"/home/lennart-k-hler/projects/dolphin/include/deconvolution/DeconvolutionProcessor.h", "C++", 0, 0, -12, 0, 0, 0, 0, 0, 0, 0, 0, 13, 6, 7
"/home/lennart-k-hler/projects/dolphin/include/deconvolution/ImageMap.h", "C++", 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 24, 13, 74
"/home/lennart-k-hler/projects/dolphin/include/deconvolution/Postprocessor.h", "C++", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 6
"/home/lennart-k-hler/projects/dolphin/include/deconvolution/Preprocessor.h", "C++", 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 56
"/home/lennart-k-hler/projects/dolphin/include/deconvolution/algorithms/DeconvolutionAlgorithm.h", "C++", 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1
"/home/lennart-k-hler/projects/dolphin/include/deconvolution/deconvolutionStrategies/DeconvolutionStrategy.h", "C++", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 7, 6, 31
"/home/lennart-k-hler/projects/dolphin/include/deconvolution/deconvolutionStrategies/HomogeneousCubesStrategy.h", "C++", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8, 45
"/home/lennart-k-hler/projects/dolphin/include/frontend/CLIFrontend.h", "C++", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
