"filename", "language", "C++", "CUDA C++", "CMake", "JSON", "Markdown", "TypeScript", "Makefile", "Ini", "comment", "blank", "total"
"/home/lennart-k-hler/projects/dolphin/include/deconvolution/algorithms/DeconvolutionAlgorithm.h", "C++", 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"/home/lennart-k-hler/projects/dolphin/include/deconvolution/algorithms/InverseFilterDeconvolutionAlgorithm.h", "C++", 1, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0
"/home/lennart-k-hler/projects/dolphin/include/deconvolution/algorithms/RLADDeconvolutionAlgorithm.h", "C++", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/home/lennart-k-hler/projects/dolphin/include/deconvolution/algorithms/RLDeconvolutionAlgorithm.h", "C++", 1, 0, 0, 0, 0, 0, 0, 0, 0, -3, -2
"/home/lennart-k-hler/projects/dolphin/include/deconvolution/algorithms/RLTVDeconvolutionAlgorithm.h", "C++", 1, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0
"/home/lennart-k-hler/projects/dolphin/include/deconvolution/algorithms/RegularizedInverseFilterDeconvolutionAlgorithm.h", "C++", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/home/lennart-k-hler/projects/dolphin/include/deconvolution/algorithms/TestAlgorithm.h", "C++", 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"/home/lennart-k-hler/projects/dolphin/legacy/DeconvolutionBackendThreadManager.cpp", "C++", 57, 0, 0, 0, 0, 0, 0, 0, 3, 22, 82
"/home/lennart-k-hler/projects/dolphin/legacy/DeconvolutionBackendThreadManager.h", "C++", 22, 0, 0, 0, 0, 0, 0, 0, 0, 6, 28
"/home/lennart-k-hler/projects/dolphin/legacy/unused/BaseDeconvolutionAlgorithmGPU.cpp", "C++", 21, 0, 0, 0, 0, 0, 0, 0, 1, 2, 24
"/home/lennart-k-hler/projects/dolphin/lib/cube/CMakeLists.txt", "CMake", 0, 0, 1, 0, 0, 0, 0, 0, 0, -1, 0
"/home/lennart-k-hler/projects/dolphin/lib/cube/include/operations.h", "C++", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/home/lennart-k-hler/projects/dolphin/lib/cube/src/main.cpp", "C++", 9, 0, 0, 0, 0, 0, 0, 0, 9, 0, 18
"/home/lennart-k-hler/projects/dolphin/lib/cube/src/operations.cu", "CUDA C++", 0, 68, 0, 0, 0, 0, 0, 0, 0, 54, 122
"/home/lennart-k-hler/projects/dolphin/src/DeconvolutionService.cpp", "C++", -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1
"/home/lennart-k-hler/projects/dolphin/src/PSFManager.cpp", "C++", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"/home/lennart-k-hler/projects/dolphin/src/ThreadPool.cpp", "C++", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"/home/lennart-k-hler/projects/dolphin/src/backend/BackendFactory.cpp", "C++", 38, 0, 0, 0, 0, 0, 0, 0, 0, 9, 47
"/home/lennart-k-hler/projects/dolphin/src/backend/ComplexData.cpp", "C++", 32, 0, 0, 0, 0, 0, 0, 0, 3, 8, 43
"/home/lennart-k-hler/projects/dolphin/src/deconvolution/DeconvolutionBackendThreadManager.cpp", "C++", -4, 0, 0, 0, 0, 0, 0, 0, 0, -3, -7
"/home/lennart-k-hler/projects/dolphin/src/deconvolution/DeconvolutionConfig.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, -13, -2, -15
"/home/lennart-k-hler/projects/dolphin/src/deconvolution/DeconvolutionProcessor.cpp", "C++", -47, 0, 0, 0, 0, 0, 0, 0, 14, 1, -32
"/home/lennart-k-hler/projects/dolphin/src/deconvolution/algorithms/InverseFilterDeconvolutionAlgorithm.cpp", "C++", -2, 0, 0, 0, 0, 0, 0, 0, -1, 2, -1
"/home/lennart-k-hler/projects/dolphin/src/deconvolution/algorithms/RLADDeconvolutionAlgorithm.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/lennart-k-hler/projects/dolphin/src/deconvolution/algorithms/RLDeconvolutionAlgorithm.cpp", "C++", 2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 3
"/home/lennart-k-hler/projects/dolphin/src/deconvolution/algorithms/RLTVDeconvolutionAlgorithm.cpp", "C++", -6, 0, 0, 0, 0, 0, 0, 0, -1, 1, -6
"/home/lennart-k-hler/projects/dolphin/src/deconvolution/algorithms/RegularizedInverseFilterDeconvolutionAlgorithm.cpp", "C++", -6, 0, 0, 0, 0, 0, 0, 0, -1, 0, -7
"/home/lennart-k-hler/projects/dolphin/src/deconvolution/algorithms/TestAlgorithm.cpp", "C++", 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/home/lennart-k-hler/projects/dolphin/src/frontend/CLIFrontend.cpp", "C++", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/home/lennart-k-hler/projects/dolphin/src/frontend/gui/UIDeconvolutionConfig.cpp", "C++", 1, 0, 0, 0, 0, 0, 0, 0, -6, 0, -5
"Total", "-", 183, 68, 43, 192, 0, 2, 43, -15, -190, 156, 482
