"filename", "language", "Markdown", "C++", "JSON", "Makefile", "XML", "Log", "CMake", "Ini", "CMake Cache", "TypeScript", "CUDA C++", "Shell Script", "comment", "blank", "total"
"/home/lennart-k-hler/projects/dolphin/build/Testing/20251117-0846/Test.xml", "XML", 0, 0, 0, 0, -34, 0, 0, 0, 0, 0, 0, 0, 0, -1, -35
"/home/lennart-k-hler/projects/dolphin/build/Testing/20251121-1437/Test.xml", "XML", 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 1, 35
"/home/lennart-k-hler/projects/dolphin/build/Testing/20251124-0840/Test.xml", "XML", 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 1, 35
"/home/lennart-k-hler/projects/dolphin/build/Testing/20251125-1037/Test.xml", "XML", 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 1, 35
"/home/lennart-k-hler/projects/dolphin/build/Testing/20251126-0902/Test.xml", "XML", 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 1, 35
"/home/lennart-k-hler/projects/dolphin/build/Testing/20251127-1040/Test.xml", "XML", 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 1, 35
"/home/lennart-k-hler/projects/dolphin/build/Testing/20251128-0854/Test.xml", "XML", 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 1, 35
"/home/lennart-k-hler/projects/dolphin/build/Testing/20251201-0849/Test.xml", "XML", 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 1, 35
"/home/lennart-k-hler/projects/dolphin/build/Testing/20251205-0847/Test.xml", "XML", 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 1, 35
"/home/lennart-k-hler/projects/dolphin/build/Testing/20251208-1054/Test.xml", "XML", 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 1, 35
"/home/lennart-k-hler/projects/dolphin/build/Testing/20251209-0838/Test.xml", "XML", 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 1, 35
